Timestamp,Presence,Movement,MovingRange,BreathingRate,HeartRate,FallState,DwellState
2025-12-04 02:13:18.167821,1,1,1,25,102,0,0
2025-12-04 02:13:31.023515,1,1,1,25,86,0,0
2025-12-04 02:13:43.981543,1,1,1,25,73,0,0
2025-12-04 02:13:57.890466,1,1,1,25,71,0,0
2025-12-04 02:14:11.209954,1,1,1,25,81,0,0
2025-12-04 02:14:24.615600,1,1,1,25,81,0,0
2025-12-04 02:14:38.529974,1,1,1,25,81,0,0
2025-12-04 02:14:52.892305,1,1,1,25,81,0,0
2025-12-04 02:15:06.208554,1,1,1,25,69,0,0
2025-12-04 02:15:19.062510,1,1,1,25,78,0,0
2025-12-04 02:15:31.973538,1,1,1,25,90,0,0
2025-12-04 02:15:44.781922,1,1,1,25,102,0,0
2025-12-04 02:15:58.643765,1,1,1,25,105,0,0
2025-12-04 02:16:11.656191,1,1,1,25,105,0,0
2025-12-04 02:16:24.622082,1,1,1,25,92,0,0
2025-12-04 02:16:37.674747,1,1,1,25,85,0,0
2025-12-04 02:16:50.586445,1,1,1,25,88,0,0
2025-12-04 02:17:04.946637,1,1,1,25,103,0,0
2025-12-04 02:17:18.257113,1,1,1,25,104,0,0
2025-12-04 02:17:31.121547,1,1,1,25,104,0,0
2025-12-04 02:17:44.079289,1,1,1,25,94,0,0
2025-12-04 02:17:58.049821,1,1,1,25,93,0,0
2025-12-04 02:18:10.902429,1,1,1,25,93,0,0
2025-12-04 02:18:23.760256,1,1,1,25,93,0,0
2025-12-04 02:18:36.669413,1,1,1,25,85,0,0
2025-12-04 02:18:49.731898,1,1,1,25,93,0,0
2025-12-04 02:19:02.640062,1,1,1,25,93,0,0
2025-12-04 02:19:17.003040,1,1,1,25,93,0,0
2025-12-04 02:19:30.316284,1,1,1,25,97,0,0
2025-12-04 02:19:43.172723,1,1,1,25,97,0,0
2025-12-04 02:19:56.131997,1,1,1,25,97,0,0
2025-12-04 02:20:10.091170,1,1,1,26,91,0,0
2025-12-04 02:20:23.002144,1,1,1,26,98,0,0
2025-12-04 02:20:35.813915,1,1,1,26,104,0,0
2025-12-04 02:20:48.724031,1,1,1,26,97,0,0
2025-12-04 02:21:02.183978,1,1,1,26,96,0,0
2025-12-04 02:21:15.195344,1,1,1,26,97,0,0
2025-12-04 02:21:29.054956,1,1,1,26,101,0,0
2025-12-04 02:21:42.367725,1,1,1,26,95,0,0
2025-12-04 02:21:55.237318,1,1,1,26,90,0,0
2025-12-04 02:22:08.189370,1,1,1,26,90,0,0
2025-12-04 02:22:22.153637,1,1,1,26,90,0,0
2025-12-04 02:22:35.060423,1,1,1,26,90,0,0
2025-12-04 02:22:47.878920,1,1,1,26,89,0,0
2025-12-04 02:23:00.781449,1,1,1,26,86,0,0
2025-12-04 02:23:15.249252,1,1,1,26,86,0,0
2025-12-04 02:23:28.202319,1,1,1,26,89,0,0
2025-12-04 02:23:41.712923,1,1,1,26,89,0,0
2025-12-04 02:23:55.722438,1,1,1,26,91,0,0
2025-12-04 02:24:08.688593,1,1,1,26,85,0,0
2025-12-04 02:24:22.045929,1,1,1,26,90,0,0
2025-12-04 02:24:34.908892,1,1,1,26,95,0,0
2025-12-04 02:24:47.774896,1,1,1,26,93,0,0
2025-12-04 02:25:01.779352,1,1,1,17,89,0,0
2025-12-04 02:25:14.741521,1,1,1,14,70,0,0
2025-12-04 02:25:28.106882,1,1,1,17,73,0,0
2025-12-04 02:25:40.950048,1,1,1,21,85,0,0
2025-12-04 02:25:53.774795,1,1,1,24,97,0,0
2025-12-04 02:26:07.785254,1,1,1,25,102,0,0
2025-12-04 02:26:20.745369,1,1,1,20,99,0,0
2025-12-04 02:26:34.109220,1,1,1,16,71,0,0
2025-12-04 02:26:46.969027,1,1,1,14,65,0,0
2025-12-04 02:26:59.927512,1,1,1,14,65,0,0
2025-12-04 02:27:12.894507,1,1,1,14,65,0,0
2025-12-04 02:27:26.299797,1,1,1,14,64,0,0
2025-12-04 02:27:39.761461,1,1,1,14,64,0,0
2025-12-04 02:27:53.125800,1,1,1,14,64,0,0
2025-12-04 02:28:05.985798,1,1,1,14,64,0,0
2025-12-04 02:28:18.894874,1,1,1,14,64,0,0
2025-12-04 02:28:32.355038,1,1,1,14,62,0,0
2025-12-04 02:28:46.225904,1,1,1,14,62,0,0
2025-12-04 02:28:58.980156,1,2,6,14,67,0,0
2025-12-04 02:29:11.895854,1,2,12,14,68,0,0
2025-12-04 02:29:27.507737,1,2,4,14,68,0,0
2025-12-04 02:29:41.822131,1,2,2,15,68,0,0
2025-12-04 02:29:55.190769,1,2,5,15,68,0,0
2025-12-04 02:30:08.002008,1,2,1,15,69,0,0
2025-12-04 02:30:20.964789,1,1,2,13,69,0,0
2025-12-04 02:30:35.344753,1,2,1,16,78,0,0
2025-12-04 02:30:48.646124,1,1,1,22,81,0,0
2025-12-04 02:31:02.457047,1,1,1,19,84,0,0
2025-12-04 02:31:15.427388,1,1,1,21,84,0,0
2025-12-04 02:31:28.832241,1,2,2,16,84,0,0
2025-12-04 02:31:41.644328,1,1,1,18,84,0,0
2025-12-04 02:31:54.508858,1,2,30,17,84,0,0
2025-12-04 02:32:08.426814,1,2,6,15,84,0,0
2025-12-04 02:32:23.888720,1,1,3,17,84,0,0
2025-12-04 02:32:37.257002,1,1,1,13,84,0,0
2025-12-04 02:32:50.122080,1,1,1,13,72,0,0
2025-12-04 02:33:02.988040,1,2,1,20,81,0,0
2025-12-04 02:33:18.004089,1,1,1,20,79,0,0
2025-12-04 02:33:33.971881,1,1,1,21,78,0,0
2025-12-04 02:33:46.934734,1,1,1,22,78,0,0
2025-12-04 02:34:00.252929,1,1,1,22,78,0,0
2025-12-04 02:34:14.121353,1,1,3,19,78,0,0
2025-12-04 02:34:27.033362,1,1,4,13,79,0,0
2025-12-04 02:34:40.550986,1,2,16,12,79,0,0
2025-12-04 02:34:53.463498,1,1,1,17,81,0,0
2025-12-04 02:35:06.268603,1,2,2,20,78,0,0
2025-12-04 02:35:20.134189,1,1,2,20,74,0,0
2025-12-04 02:35:33.094371,1,1,7,20,75,0,0
2025-12-04 02:35:47.456810,1,2,6,20,66,0,0
2025-12-04 02:36:00.775945,1,2,37,23,66,0,0
2025-12-04 02:36:13.784271,1,1,1,24,120,0,0
2025-12-04 02:36:26.598050,1,1,1,23,105,0,0
2025-12-04 02:36:39.510942,1,1,1,23,93,0,0
2025-12-04 02:36:52.371058,1,1,1,24,85,0,0
2025-12-04 02:37:05.230708,1,1,1,19,79,0,0
2025-12-04 02:37:18.191009,1,1,1,20,70,0,0
2025-12-04 02:37:31.153870,1,1,1,17,70,0,0
2025-12-04 02:37:44.579217,1,1,1,19,65,0,0
2025-12-04 02:37:57.383043,1,1,1,23,68,0,0
2025-12-04 02:38:10.195593,1,1,1,22,80,0,0
2025-12-04 02:38:24.134127,1,2,1,14,70,0,0
2025-12-04 02:38:38.023583,1,2,3,13,65,0,0
2025-12-04 02:38:50.929297,1,2,2,11,62,0,0
2025-12-04 02:39:03.747701,1,1,1,17,69,0,0
2025-12-04 02:39:17.562447,1,1,1,13,68,0,0
2025-12-04 02:39:30.426334,1,1,1,12,65,0,0
2025-12-04 02:39:43.244804,1,2,1,12,64,0,0
2025-12-04 02:39:57.202734,1,1,1,12,64,0,0
2025-12-04 02:40:11.559415,1,1,1,12,68,0,0
2025-12-04 02:40:24.870960,1,1,1,11,64,0,0
2025-12-04 02:40:37.785387,1,1,1,11,69,0,0
2025-12-04 02:40:50.647720,1,2,2,13,69,0,0
2025-12-04 02:41:05.173280,1,1,1,14,69,0,0
2025-12-04 02:41:18.098513,1,2,1,14,69,0,0
2025-12-04 02:41:30.903706,1,2,1,14,69,0,0
2025-12-04 02:41:43.854540,1,1,1,14,69,0,0
2025-12-04 02:41:56.664519,1,1,1,14,79,0,0
2025-12-04 02:42:09.473575,1,1,1,15,79,0,0
2025-12-04 02:42:23.839254,1,1,1,16,79,0,0
2025-12-04 02:42:37.754250,1,2,1,17,73,0,0
2025-12-04 02:42:50.715290,1,1,1,16,68,0,0
2025-12-04 02:43:04.577262,1,1,1,15,72,0,0
2025-12-04 02:43:17.395077,1,1,1,15,66,0,0
2025-12-04 02:43:30.252226,1,1,1,16,63,0,0
2025-12-04 02:43:44.263322,1,1,1,17,68,0,0
2025-12-04 02:43:57.173100,1,2,12,17,66,0,0
2025-12-04 02:44:09.985466,1,1,1,18,67,0,0
2025-12-04 02:44:23.350845,1,2,1,22,82,0,0
2025-12-04 02:44:36.263363,1,1,1,24,94,0,0
2025-12-04 02:44:50.223548,1,1,1,24,90,0,0
2025-12-04 02:45:03.538297,1,1,1,15,80,0,0
2025-12-04 02:45:17.354291,1,2,1,14,71,0,0
2025-12-04 02:45:30.769116,1,1,1,15,69,0,0
2025-12-04 02:45:43.633193,1,1,1,19,69,0,0
2025-12-04 02:45:56.395701,1,1,1,19,69,0,0
2025-12-04 02:46:09.310262,1,1,3,19,69,0,0
2025-12-04 02:46:22.674726,1,2,1,19,69,0,0
2025-12-04 02:46:35.489378,1,1,4,17,69,0,0
2025-12-04 02:46:48.351502,1,1,1,17,73,0,0
2025-12-04 02:47:02.315615,1,2,1,18,82,0,0
2025-12-04 02:47:15.228565,1,1,1,19,79,0,0
2025-12-04 02:47:28.042945,1,1,3,17,66,0,0
2025-12-04 02:47:40.957038,1,1,1,16,63,0,0
2025-12-04 02:47:53.821624,1,2,2,16,63,0,0
2025-12-04 02:48:06.633647,1,1,1,16,63,0,0
2025-12-04 02:48:20.554815,1,1,6,16,65,0,0
2025-12-04 02:48:33.366712,1,2,1,17,64,0,0
2025-12-04 02:48:46.721242,1,2,2,16,64,0,0
2025-12-04 02:48:59.536435,1,2,2,16,63,0,0
2025-12-04 02:49:12.495612,1,1,5,18,63,0,0
2025-12-04 02:49:25.408230,1,1,1,14,69,0,0
2025-12-04 02:49:38.373677,1,1,1,13,62,0,0
2025-12-04 02:49:51.685885,1,2,1,11,62,0,0
2025-12-04 02:50:05.147283,1,2,7,11,63,0,0
2025-12-04 02:50:17.959029,1,1,2,11,63,0,0
2025-12-04 02:50:30.877798,1,2,5,11,68,0,0
2025-12-04 02:50:43.735425,1,1,2,11,75,0,0
2025-12-04 02:50:56.601277,1,2,1,11,81,0,0
2025-12-04 02:51:09.511299,1,2,3,12,85,0,0
2025-12-04 02:51:23.873380,1,2,15,13,86,0,0
2025-12-04 02:51:39.438521,1,1,1,13,78,0,0
2025-12-04 02:51:52.804577,1,1,1,13,83,0,0
2025-12-04 02:52:05.631804,1,2,2,14,90,0,0
2025-12-04 02:52:18.947268,1,1,1,14,77,0,0
2025-12-04 02:52:31.805238,1,1,1,20,92,0,0
2025-12-04 02:52:45.720619,1,1,1,20,81,0,0
2025-12-04 02:53:00.195096,1,1,3,23,81,0,0
2025-12-04 02:53:13.100533,1,1,1,23,69,0,0
2025-12-04 02:53:26.967494,1,1,1,23,70,0,0
2025-12-04 02:53:39.776660,1,2,3,19,73,0,0
2025-12-04 02:53:54.090610,1,2,1,13,73,0,0
2025-12-04 02:54:07.005712,1,1,1,20,63,0,0
2025-12-04 02:54:20.467778,1,2,1,19,70,0,0
2025-12-04 02:54:33.780437,1,1,1,18,64,0,0
2025-12-04 02:54:47.596311,1,1,2,15,64,0,0
2025-12-04 02:55:01.010509,1,1,1,14,69,0,0
2025-12-04 02:55:13.880192,1,1,2,14,80,0,0
2025-12-04 02:55:27.244008,1,1,1,13,78,0,0
2025-12-04 02:55:40.111494,1,2,2,12,66,0,0
2025-12-04 02:55:53.971491,1,1,1,12,66,0,0
2025-12-04 02:56:07.294859,1,1,1,15,66,0,0
2025-12-04 02:56:20.152972,1,1,1,14,66,0,0
2025-12-04 02:56:33.073062,1,2,2,14,71,0,0
2025-12-04 02:56:46.931733,1,2,3,14,70,0,0
2025-12-04 02:56:59.700897,1,1,2,15,70,0,0
